Entity,Code,Day,"People fully vaccinated (cumulative, per hundred)"
Africa,,2022-04-29,15.721183
Africa,,2022-04-30,15.741674
Africa,,2022-05-01,15.758806
Africa,,2022-05-02,15.783076
Africa,,2022-05-03,15.807588
Africa,,2022-05-04,15.835053
Africa,,2022-05-05,15.863376
Africa,,2022-05-06,15.891711
Africa,,2022-05-07,15.921178
Africa,,2022-05-08,15.948955
Africa,,2022-05-09,15.970787
Africa,,2022-05-10,15.998662
Africa,,2022-05-11,16.024542
Africa,,2022-05-12,16.052288
Africa,,2022-05-13,16.07905
Africa,,2022-05-14,16.10915
Africa,,2022-05-15,16.139967
Africa,,2022-05-16,16.161783
Africa,,2022-05-17,16.183487
Africa,,2022-05-18,16.207214
Africa,,2022-05-19,16.228878
Africa,,2022-05-20,16.249872
Africa,,2022-05-21,16.273245
Africa,,2022-05-22,16.295124
Africa,,2022-05-23,16.3105
Africa,,2022-05-24,16.329254
Africa,,2022-05-25,16.348074
Africa,,2022-05-26,16.367073
Africa,,2022-05-27,16.39243
Africa,,2022-05-28,16.408821
Africa,,2022-05-29,16.424595
Africa,,2022-05-30,16.504515
Africa,,2022-05-31,16.523521
Africa,,2022-06-01,16.55032
Africa,,2022-06-02,16.576988
Africa,,2022-06-03,16.605206
Africa,,2022-06-04,16.624763
Africa,,2022-06-05,16.64349
Africa,,2022-06-06,16.704132
Africa,,2022-06-07,16.765566
Africa,,2022-06-08,16.831306
Africa,,2022-06-09,16.89324
Africa,,2022-06-10,16.955183
Africa,,2022-06-11,17.017437
Africa,,2022-06-12,17.078394
Africa,,2022-06-13,17.139118
Africa,,2022-06-14,17.200693
Africa,,2022-06-15,17.262564
Africa,,2022-06-16,17.3242
Africa,,2022-06-17,17.385256
Africa,,2022-06-18,17.445742
Africa,,2022-06-19,17.505634
Africa,,2022-06-20,17.588358
Africa,,2022-06-21,17.67195
Africa,,2022-06-22,17.75573
Africa,,2022-06-23,17.842834
Africa,,2022-06-24,17.926537
Africa,,2022-06-25,18.009962
Africa,,2022-06-26,18.092903
Africa,,2022-06-27,18.16313
Africa,,2022-06-28,18.308088
Africa,,2022-06-29,18.452944
Africa,,2022-06-30,18.52953
Africa,,2022-07-01,18.602152
Africa,,2022-07-02,18.674713
Africa,,2022-07-03,18.747143
Africa,,2022-07-04,18.812866
Africa,,2022-07-05,18.878422
Africa,,2022-07-06,18.942747
Africa,,2022-07-07,19.007053
Africa,,2022-07-08,19.073608
Africa,,2022-07-09,19.137964
Africa,,2022-07-10,19.201818
Africa,,2022-07-11,19.260063
Africa,,2022-07-12,19.318977
Africa,,2022-07-13,19.377907
Africa,,2022-07-14,19.43803
Africa,,2022-07-15,19.498074
Africa,,2022-07-16,19.558102
Africa,,2022-07-17,19.627058
Africa,,2022-07-18,19.697971
Africa,,2022-07-19,19.76904
Africa,,2022-07-20,19.833237
Africa,,2022-07-21,19.897774
Africa,,2022-07-22,19.96249
Africa,,2022-07-23,20.026363
Africa,,2022-07-24,20.090057
Africa,,2022-07-25,20.151165
Africa,,2022-07-26,20.213472
Africa,,2022-07-27,20.27632
Africa,,2022-07-28,20.335945
